id_,Date,Title,Resume,Tag,Link
0,2021-07-26,Saluting Kaneez Darbar for 30 Years with Dauphin,We're proud to celebrate the dedication and commitment of a very valued employee with great contributions to our company.,dauphin americas employees,https://blog.dauphin.com/saluting-kaneez-darbar-for-30-years-with-dauphin
1,2020-12-30,Meet Our New President Matthew Negron,A deep understanding of what customers need has led to a recurring theme of success during tenure at Dauphin.,dauphin americas employees,https://blog.dauphin.com/meet-matthew-negron-new-president-of-dauphin
2,2020-12-15,Gary Chin announces his retirement and the appointment of Dauphin’s new President Matthew Negron,A bittersweet departure after a 41-year tenure with the company.,dauphin americas employees,https://blog.dauphin.com/gary-chin-announces-retirement-and-appointment-of-new-dauphin-president-matthew-negron
3,2021-05-26,Key Takeaways from the Leading through Chaos Webinar,"If you missed our ""Leading through Chaos"" webinar, check out our short blog featuring highlights that can help with leadership takeaways.",leadership,https://blog.dauphin.com/key-takeaways-from-the-leading-through-chaos-webinar
4,2020-12-30,Meet Our New President Matthew Negron,A deep understanding of what customers need has led to a recurring theme of success during tenure at Dauphin.,leadership,https://blog.dauphin.com/meet-matthew-negron-new-president-of-dauphin
5,2020-12-15,Gary Chin announces his retirement and the appointment of Dauphin’s new President Matthew Negron,A bittersweet departure after a 41-year tenure with the company.,leadership,https://blog.dauphin.com/gary-chin-announces-retirement-and-appointment-of-new-dauphin-president-matthew-negron
6,2021-11-17,Bosse Ion Cloud harnesses the positive power of negative ions,"Purified air keeps occupants happy, healthy, and more productive.",office spaces,https://blog.dauphin.com/bosse-ion-cloud-harnesses-the-positive-power-of-negative-ions
7,2021-03-17,Dauphin’s Gary Chin Quoted in ASID Article “Returning to the Workplace”,Both short- and long-term strategies are critical for returning safely to the office.,office spaces,https://blog.dauphin.com/dauphins-gary-chin-quoted-in-asid-article-returning-to-the-workplace
8,2021-01-07,"Adaptive, Distanced Modern Office Design in the New Normal",The new normal is creating unique challenges for interior designers and architects alike.,office spaces,https://blog.dauphin.com/aadaptive-distanced-modern-office-design-in-the-new-normal
9,2022-01-07,How Mass Timber is Becoming a New Reality in Interior Design,The benefits of mass timber over synthetic materials in interior design and construction.,wellbeing at work,https://blog.dauphin.com/how-mass-timber-is-becoming-a-new-reality-in-interior-design
10,2021-05-13,When and How to Propel Productivity and Wellbeing at Design Firms,Learn how and when you should push productivity and creativity at design firms. Enhance your work performance through these tips and tricks.,wellbeing at work,https://blog.dauphin.com/when-and-how-to-propel-productivity-and-wellbeing-at-design-firms
11,2021-01-29,Have Fun With Our Virtual Care Package,Have fun within the safety of your home with extras from our team.,wellbeing at work,https://blog.dauphin.com/virtual-care-package
12,2021-05-13,When and How to Propel Productivity and Wellbeing at Design Firms,Learn how and when you should push productivity and creativity at design firms. Enhance your work performance through these tips and tricks.,wellness,https://blog.dauphin.com/when-and-how-to-propel-productivity-and-wellbeing-at-design-firms
13,2021-02-15,Dauphin Contributes Face Masks to the COVID-19 Battle Front Line,Making masks for frontline workers proves rewarding for Dauphin employees.,wellness,https://blog.dauphin.com/dauphin-contributes-face-masks-to-the-covid-19-battle-front-line
14,2021-01-29,Have Fun With Our Virtual Care Package,Have fun within the safety of your home with extras from our team.,wellness,https://blog.dauphin.com/virtual-care-package
15,2022-01-07,How Mass Timber is Becoming a New Reality in Interior Design,The benefits of mass timber over synthetic materials in interior design and construction.,air quality,https://blog.dauphin.com/how-mass-timber-is-becoming-a-new-reality-in-interior-design
16,2021-09-13,Optimizing Air Quality In Office Spaces,The COVID-19 pandemic has moved the importance of air quality to the front of the line in office settings.,air quality,https://blog.dauphin.com/optimizing-air-quality-in-office-spaces
